item,value
balanced,true
max_abs_gap,9.717041393741965e-9
max_gap_account,LAB_UNSK
relative_max_gap,2.6051583632358174e-14
total_abs_gap,1.8055612827083757e-7
total_sam,372992.3497500019
tolerance,1.0e-6
