item,value
products,100
activities,100
regions,4
vintages,2
sam_accounts,216
activity_accounts,100
commodity_accounts,100
factor_accounts,5
tax_accounts,6
institution_accounts,4
margin_accounts,1
preferred_input,data/csv/sam.csv
excel_input,data/linkage_100sector_data.xlsx
